Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales
Bleach: Heat the Soul 5;PSP;2008;Fighting;Sony Computer Entertainment;0;0;8;0;8
Bleach: Heat the Soul 6;PSP;2009;Fighting;Sony Computer Entertainment;0;0;9;0;9
Bleach: Heat the Soul 7;PSP;2010;Fighting;Sony Computer Entertainment;0;0;8;0;8
Bleach: Shattered Blade;Wii;2006;Fighting;Sega;22;1;8;2;33
Bleach: Soul Carnival;PSP;2008;Fighting;Sony Computer Entertainment;0;0;5;0;5
Bleach: Soul Carnival 2;PSP;2009;Fighting;Sony Computer Entertainment;0;0;3;0;3
Bleach: Soul Resurreccion;PS3;2011;Fighting;Nippon Ichi Software;27;11;7;5;5
Bleach: The 3rd Phantom;DS;2008;Role-Playing;Sega;1;2;7;1;2
Bleach: The Blade of Fate;DS;2006;Fighting;Sega;3;1;12;3;46
Bleach: Versus Crusade;Wii;2008;Fighting;Sega;0;0;6;0;6
Blender Bros.;GBA;2002;Platform;Unknown;2;1;0;0;2
Blinx 2: Masters of Time & Space;XB;2004;Platform;Microsoft Game Studios;12;3;0;1;15
Blinx: The Time Sweeper;XB;2002;Platform;Microsoft Game Studios;39;15;0;2;56
Blitz: Overtime;PSP;2006;Sports;Midway Games;9;0;0;1;9
Blitz: The League;PS2;2005;Sports;Unknown;74;3;0;12;89
Blitz: The League;XB;2004;Sports;Midway Games;4;11;0;2;53
Blitz: The League;X360;2006;Sports;Midway Games;15;0;0;1;16
Blitz: The League II;PS3;2008;Sports;Midway Games;11;3;0;2;16
Blitz: The League II;X360;2008;Sports;Midway Games;8;1;0;1;1
Blitzkrieg 2 Anthology;PC;2008;Strategy;Ascaron Entertainment GmbH;0;1;0;0;1
Block Kuzushi;SNES;1995;Puzzle;Pow;0;0;5;0;5
Block Party;Wii;2008;Misc;Activision;14;0;0;1;16
Blokus Portable: Steambot Championship;PSP;2006;Puzzle;Majesco Entertainment;3;0;0;0;3
Blood Bowl;X360;2009;Sports;Focus Home Interactive;13;3;0;1;17
Blood Bowl;PC;2009;Sports;Focus Home Interactive;1;2;0;1;4
Blood Bowl: Legendary Edition;PC;2010;Sports;Focus Home Interactive;0;1;0;0;2
Blood Drive;X360;2010;Racing;Activision;9;1;0;1;11
Blood Drive;PS3;2010;Racing;Activision;7;0;0;0;7
Blood of Bahamut;DS;2009;Role-Playing;Square Enix;0;0;9;0;9
Blood Omen 2;PS2;2002;Action;Eidos Interactive;19;15;0;5;39
Blood Omen 2;XB;2002;Action;Eidos Interactive;14;4;0;1;19
Blood Omen 2;GC;2002;Action;Eidos Interactive;4;1;0;0;5
Blood Omen: Legacy of Kain;PS;1996;Role-Playing;Crystal Dynamics;25;17;0;3;44
Blood Wake;XB;2001;Shooter;Microsoft Game Studios;43;12;0;2;57
Blood Will Tell: Tezuka Osamu's Dororo;PS2;2004;Adventure;Sega;2;2;0;1;4
Blood: The Last Vampire (Joukan);PS2;2000;Adventure;Sony Computer Entertainment;0;0;9;0;9
Bloodborne;PS4;2015;Action;Sony Computer Entertainment;1;76;26;36;238
BloodRayne;PS2;2002;Shooter;Universal Interactive;2;16;0;5;42
BloodRayne;XB;2002;Shooter;Universal Interactive;16;5;0;1;21
BloodRayne;GC;2002;Shooter;Universal Interactive;9;2;0;0;11
BloodRayne 2;PS2;2004;Shooter;THQ;13;1;0;3;27
BloodRayne 2;XB;2004;Shooter;THQ;11;3;0;1;15
Bloody Roar;PS;1997;Fighting;Virgin Interactive;22;15;0;3;39
Bloody Roar 3;PS2;2001;Fighting;Virgin Interactive;15;11;5;4;35
Bloody Roar 4;PS2;2003;Fighting;Konami Digital Entertainment;5;4;0;1;9
Bloody Roar Extreme;XB;2003;Fighting;Hudson Soft;3;1;0;0;4
Bloody Roar II;PS;1999;Fighting;Virgin Interactive;25;17;0;3;46
Bloody Roar: Primal Fury;GC;2002;Fighting;Activision;14;4;0;0;18
BlowOut;PS2;2003;Shooter;Zoo Digital Publishing;11;9;0;3;23
BlowOut;XB;2003;Shooter;Zoo Digital Publishing;4;1;0;0;5
Blue Breaker: Ken Yorimo Hohoemi o;PCFX;1996;Role-Playing;NEC;0;0;3;0;3
Blue Dragon;X360;2006;Role-Playing;Microsoft Game Studios;3;33;21;8;92
Blue Dragon Plus;DS;2008;Role-Playing;Ignition Entertainment;12;4;5;1;22
Blue Dragon: Awakened Shadow;DS;2009;Role-Playing;Namco Bandai Games;6;0;3;0;1
Blue Roses: Yousei to Aoi Hitomi no Senshitachi;PSP;2010;Adventure;Nippon Ichi Software;0;0;4;0;4
Blue Stinger;DC;1999;Adventure;Activision;0;0;1;0;1
Blues Brothers 2000;N64;2000;Platform;Virgin Interactive;4;1;0;0;5
Blue's Clues: Blue's Big Musical;PS;2001;Misc;THQ;28;19;0;3;5
Blur;PS3;2010;Racing;Activision;22;37;2;13;74
Blur;X360;2010;Racing;Activision;25;28;0;6;6
Blur;PC;2010;Racing;Activision;1;4;0;1;6
BMX XXX;PS2;2002;Sports;Acclaim Entertainment;7;6;0;2;15
BMX XXX;XB;2002;Sports;Acclaim Entertainment;8;2;0;0;11
BMX XXX;GC;2002;Sports;Acclaim Entertainment;5;1;0;0;6
Board Game Classics;GBA;2005;Misc;Destination Software, Inc;6;2;0;0;8
Board Game: Top Shop;PS;1999;Misc;Success;1;1;0;0;2
Bob the Builder: Can We Fix It?;PS;2000;Action;THQ;31;21;0;4;57
Boboboubo Boubobo: Ougi 87.5 Bakuretsu Hanage Shinken;GBA;2002;Action;Hudson Soft;0;0;3;0;3
Bode Miller Alpine Skiing;PS2;2006;Sports;Valcon Games;1;1;0;0;3
Body and Brain Connection;X360;2010;Misc;Namco Bandai Games;1;8;0;2;2
Body Harvest;N64;1998;Shooter;Gremlin Interactive Ltd;16;4;0;0;2
Bodycount;PS3;2011;Shooter;Codemasters;5;6;0;2;12
Bodycount;X360;2011;Shooter;Codemasters;7;3;0;1;11
Bogey: Dead 6;PS;1996;Simulation;Sony Computer Entertainment;5;4;0;1;9
Boing! Docomodake DS;DS;2007;Puzzle;Ignition Entertainment;4;0;0;0;5
Boktai 2: Solar Boy Django;GBA;2004;Role-Playing;Konami Digital Entertainment;3;1;0;0;4
Boktai: The Sun is in Your Hand;GBA;2003;Role-Playing;Konami Digital Entertainment;1;4;0;0;15
Boku no Natsuyasumi;PS;2000;Adventure;Sony Computer Entertainment;0;0;37;3;4
Boku no Natsuyasumi 2: Umi no Bouken Hen;PS2;2002;Adventure;Sony Computer Entertainment;0;0;41;0;41
Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougen?;PS3;2007;Adventure;Sony Computer Entertainment;0;0;8;0;8
Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu;PSP;2009;Adventure;Sony Computer Entertainment;0;0;19;0;19
Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu;PSP;2010;Adventure;Sony Computer Entertainment;0;0;7;0;7
Boku no Natsuyasumi Portable: Mushi Mushi Hakase to Teppen-yama no Himitsu!!;PSP;2006;Adventure;Sony Computer Entertainment;0;0;1;0;1
Bolt;DS;2008;Adventure;Disney Interactive Studios;35;21;0;6;62
Bolt;Wii;2008;Adventure;Disney Interactive Studios;19;31;0;6;57
Bolt;PS2;2008;Adventure;Disney Interactive Studios;9;2;0;16;26
Bolt;X360;2008;Adventure;Disney Interactive Studios;18;5;0;2;25
Bolt;PS3;2008;Adventure;Disney Interactive Studios;12;5;0;2;19
Bombastic;PS2;2002;Puzzle;Capcom;3;2;0;1;5
Bomberman;NES;1985;Puzzle;Hudson Soft;18;0;85;0;103
Bomberman;DS;2005;Puzzle;Ubisoft;1;2;3;1;16
Bomberman;PSP;2006;Puzzle;Konami Digital Entertainment;14;0;0;1;15
Bomberman;Wii;2008;Puzzle;Hudson Entertainment;0;0;1;0;1
Bomberman (jp sales);PSP;2006;Puzzle;Konami Digital Entertainment;0;0;1;0;1
Bomberman 2;DS;2008;Puzzle;Hudson Soft;0;1;0;0;2
Bomberman 64;N64;1997;Puzzle;Hudson Soft;5;2;31;3;104
Bomberman 64: The Second Attack!;N64;1999;Adventure;Hudson Soft;5;1;11;0;17
Bomberman B-Daman;SNES;1996;Shooter;Hudson Soft;0;0;17;0;17
Bomberman Fantasy Race;PS;1998;Racing;Virgin Interactive;1;1;0;0;2
Bomberman Generation;GC;2002;Adventure;Vivendi Games;15;4;6;1;25
Bomberman Hero;N64;1998;Platform;Nintendo;27;6;8;5;47
Bomberman II;NES;1991;Puzzle;Hudson Soft;16;3;15;1;44
Bomberman Jetters;GC;2002;Puzzle;Hudson Soft;6;2;0;0;8
Bomberman Land;Wii;2007;Misc;Rising Star Games;11;2;3;1;17
Bomberman Land;PS;2000;Misc;Hudson Soft;0;0;15;1;16
Bomberman Land;PSP;2007;Misc;Hudson Entertainment;6;0;0;1;6
Bomberman Land Touch!;DS;2006;Puzzle;Rising Star Games;4;0;4;0;9
Bomberman Land Touch! 2;DS;2007;Puzzle;Rising Star Games;13;0;1;1;16
Bomberman Max 2: Blue Advance;GBA;2002;Puzzle;Vivendi Games;7;2;0;0;9
Bomberman Max 2: Red Advance;GBA;2002;Puzzle;Vivendi Games;5;2;0;0;7
Bomberman Party Edition;PS;1998;Puzzle;Virgin Interactive;7;5;0;1;12
Bomberman Story DS;DS;2007;Role-Playing;Rising Star Games;0;0;2;0;2
Bomberman Tournament;GBA;2001;Puzzle;Activision;1;4;1;1;25
Bomberman World;PS;1998;Puzzle;Sony Computer Entertainment;6;4;22;2;33
Bomberman: Act Zero;X360;2006;Puzzle;Konami Digital Entertainment;4;0;0;0;4
Boogie;Wii;2007;Misc;Electronic Arts;43;3;0;4;5
Boogie;DS;2007;Misc;Electronic Arts;25;0;0;2;27
Boogie;PS2;2007;Misc;Electronic Arts;9;7;0;2;19
Boogie SuperStar;Wii;2008;Misc;Electronic Arts;2;2;0;2;24
Book of Spells;PS3;2012;Action;Sony Computer Entertainment;13;4;0;16;7
Bookworm;DS;2009;Puzzle;PopCap Games;31;1;0;2;34
Bookworm;GBA;2004;Puzzle;Unknown;2;1;0;0;3
Bookworm Deluxe;PC;2006;Puzzle;PopCap Games;1;0;0;0;1
Boom Blox;Wii;2008;Puzzle;Electronic Arts;72;38;0;12;123
Boom Blox Bash Party;Wii;2009;Puzzle;Electronic Arts;34;9;0;4;47
BoomBots;PS;1999;Fighting;SouthPeak Games;6;4;0;1;11
Boot Camp Academy;Wii;2010;Action;Zoo Games;3;0;0;0;3
Borderlands;X360;2009;Shooter;Take-Two Interactive;239;73;3;29;344
Borderlands;PS3;2009;Shooter;Take-Two Interactive;12;62;0;29;211
Borderlands;PC;2009;Shooter;Take-Two Interactive;1;14;0;4;18
Borderlands 2;X360;2012;Shooter;Take-Two Interactive;189;91;4;24;307
Borderlands 2;PS3;2012;Shooter;Take-Two Interactive;105;77;1;36;228
Borderlands 2;PC;2012;Shooter;Take-Two Interactive;42;41;0;11;93
Borderlands 2;PSV;2014;Shooter;Take-Two Interactive;43;21;1;19;83
Borderlands: Double Game Add-On Pack;X360;2010;Shooter;Take-Two Interactive;1;2;0;1;13
Borderlands: The Handsome Collection;PS4;2015;Shooter;Take-Two Interactive;36;32;3;14;84
Borderlands: The Handsome Collection;XOne;2015;Shooter;Take-Two Interactive;24;13;0;4;41
Borderlands: The Pre-Sequel;X360;2014;Shooter;Take-Two Interactive;46;22;1;6;75
Borderlands: The Pre-Sequel;PS3;2014;Shooter;Take-Two Interactive;25;26;5;11;67
Borderlands: The Pre-Sequel;PC;2014;Shooter;Take-Two Interactive;11;15;0;3;29
Botanicula;PC;2012;Adventure;Daedalic Entertainment;0;2;0;0;3
Bottom of the 9th;N64;1999;Sports;Konami Digital Entertainment;37;0;0;0;37
Bottom of the 9th;PS;1996;Sports;Konami Digital Entertainment;8;5;0;1;14
Bottom of the 9th '97;PS;1997;Sports;Konami Digital Entertainment;1;1;0;0;2
Bottom of the 9th '99;PS;1998;Sports;Konami Digital Entertainment;3;2;0;0;5
Boulder Dash: Rocks!;DS;2007;Puzzle;10TACLE Studios;0;3;0;0;3
Bound By Flame;PS4;2014;Role-Playing;Focus Home Interactive;7;8;0;4;19
Bound By Flame;X360;2014;Role-Playing;N/A;0;1;0;0;1
Bounty Hounds;PSP;2006;Action;Namco Bandai Games;3;0;0;0;3
Boxer's Road;PS;1995;Fighting;New;0;0;33;2;36
Boxing;2600;1980;Fighting;Activision;72;4;0;1;77
Boxing;PS;2000;Fighting;Midas Interactive Entertainment;4;3;0;0;7
Boxing Fever;GBA;2001;Sports;THQ;6;2;0;0;8
BRAHMA Force: The Assault on Beltlogger 9;PS;1996;Shooter;JVC;2;1;0;0;3
Braid;PC;2009;Platform;Number None;0;2;0;1;3
Brain Age 2: More Training in Minutes a Day;DS;2005;Puzzle;Nintendo;344;536;532;118;153
Brain Age: Concentration Training;3DS;2012;Puzzle;Nintendo;9;0;0;1;9
Brain Age: Train Your Brain in Minutes a Day;DS;2005;Misc;Nintendo;475;926;416;205;2022
Brain Assist;DS;2007;Misc;Sega;12;0;0;1;13
Brain Boost: Beta Wave;DS;2005;Puzzle;505 Games;14;0;0;1;15
Brain Boost: Gamma Wave;DS;2005;Puzzle;505 Games;14;0;0;1;15
Brain Challenge;DS;2008;Misc;Ubisoft;41;1;0;3;45
Brain Dead 13;PS;1996;Adventure;Coconuts Japan;1;1;0;0;2
Brain Exercise With Dr. Kawashima;PC;2009;Puzzle;Namco Bandai Games;0;1;0;0;1
Brain Quest: Grades 3 & 4;DS;2008;Misc;Electronic Arts;6;0;0;1;7
Brain Quest: Grades 5 & 6;DS;2008;Misc;Electronic Arts;11;0;0;1;11
Brain Voyage;DS;2008;Puzzle;Eidos Interactive;6;2;0;1;9
Brandish: The Dark Revenant;PSP;2009;Role-Playing;Falcom Corporation;0;0;2;0;2
Bratz;GBA;2002;Platform;Ubisoft;1;4;0;0;13
Bratz 4 Real;DS;2007;Adventure;THQ;29;22;0;6;57
Bratz Kidz;Wii;2008;Misc;Game Factory;16;0;0;1;17
Bratz Kidz;DS;2008;Misc;Game Factory;3;0;0;0;4
Bratz Ponyz;DS;2007;Adventure;Game Factory;26;0;0;2;28
Bratz Ponyz 2;DS;2008;Adventure;Game Factory;24;0;0;2;26
Bratz: Forever Diamondz;DS;2006;Adventure;THQ;43;88;0;18;148
Bratz: Forever Diamondz;GC;2006;Adventure;THQ;17;4;0;1;21
Bratz: Forever Diamondz;PS2;2006;Adventure;THQ;1;1;0;0;1
Bratz: Girlz Really Rock;DS;2008;Action;THQ;18;11;0;3;32
Bratz: Girlz Really Rock;PS2;2008;Action;THQ;11;9;0;3;23
Bratz: Girlz Really Rock;Wii;2008;Action;THQ;19;0;0;2;21
Bratz: Rock Angelz;GBA;2004;Misc;THQ;39;14;0;1;54
Bratz: Rock Angelz;PS2;2005;Misc;THQ;19;15;0;5;38
Bratz: Rock Angelz;GC;2005;Misc;THQ;16;4;0;1;2
Bratz: Super Babyz;DS;2008;Action;THQ;26;0;0;2;29
Bratz: The Movie;PS2;2007;Simulation;THQ;24;18;0;6;48
Bratz: The Movie;Wii;2007;Simulation;THQ;24;1;0;2;27
Brave Fencer Musashi;PS;1998;Role-Playing;SquareSoft;25;17;65;7;114
Brave Story: Boku no Kioku to Negai;DS;2006;Role-Playing;Namco Bandai Games;0;0;2;0;2
Brave Story: New Traveler (US sales);PSP;2006;Role-Playing;Sony Computer Entertainment;11;0;0;0;11
Brave Story: New Traveller (jp sales);PSP;2006;Role-Playing;Sony Computer Entertainment;0;0;5;0;5
Brave: A Warrior's Tale;Wii;2009;Action;SouthPeak Games;5;0;0;0;6
Brave: A Warrior's Tale;X360;2009;Action;SouthPeak Games;5;1;0;0;6
Brave: The Video Game;Wii;2012;Action;Disney Interactive Studios;0;2;0;0;2
Brave: The Video Game;DS;2012;Action;Disney Interactive Studios;0;2;0;0;2
Bravely Default: Flying Fairy;3DS;2012;Role-Playing;Nintendo;5;32;49;7;138
Bravely Second: End Layer;3DS;2015;Role-Playing;Nintendo;16;11;18;3;47
Bravo Air Race;PS;1997;Racing;THQ;8;5;0;1;14
Breach;PC;2011;Shooter;Destineer;1;0;0;0;1
Break 'Em All;DS;2005;Puzzle;D3Publisher;11;0;0;1;12
Breakaway IV;2600;N/A;Puzzle;Sears;2;1;0;0;21
Breakdown;XB;2004;Adventure;Electronic Arts;9;3;0;0;12
Breakout;PS;1999;Puzzle;Hasbro Interactive;6;4;0;1;11
Breath of Fire;GBA;2001;Role-Playing;Ubisoft;11;4;6;0;22
Breath of Fire II;SNES;1994;Role-Playing;Laguna;0;0;36;0;36
Breath of Fire II;GBA;2001;Role-Playing;Ubisoft;14;5;0;0;19
Breath of Fire III;PS;1997;Role-Playing;Capcom;29;19;46;7;1
Breath of Fire III;PSP;2005;Role-Playing;Capcom;0;3;0;1;4
Breath of Fire IV;PS;2000;Role-Playing;Capcom;11;8;34;4;56
Breath of Fire: Dragon Quarter;PS2;2002;Role-Playing;Capcom;9;7;0;2;19
Breeding Stud 2;PS;1998;Sports;Konami Digital Entertainment;0;0;4;0;4
Brian Lara Cricket;PS;1998;Sports;Codemasters;2;113;1;1;126
Bridge;2600;1980;Misc;Activision;25;2;0;0;27
Brigandine: The Legend of Forsena;PS;1998;Strategy;Atlus;5;3;0;1;9
Brink;X360;2011;Shooter;Bethesda Softworks;59;35;1;9;104
Brink;PS3;2011;Shooter;Bethesda Softworks;29;32;1;12;74
Brink;PC;2011;Shooter;Bethesda Softworks;6;9;0;3;18
Britney's Dance Beat;PS2;2002;Misc;THQ;12;9;0;3;24
Britney's Dance Beat;GBA;2002;Misc;THQ;15;6;0;0;22
Broken Helix;PS;1997;Action;Konami Digital Entertainment;3;2;0;0;6
Broken Sword 5: The Serpent's Curse;PS4;2015;Adventure;Revolution Software;0;6;0;1;6
Broken Sword 5: The Serpent's Curse;XOne;2015;Adventure;Revolution Software;0;1;0;0;1
Broken Sword II: The Smoking Mirror;PS;1997;Adventure;Sony Computer Entertainment;3;2;0;0;6
Broken Sword: Shadow of the Templars - The Director's Cut;Wii;2009;Adventure;Ubisoft;12;1;0;2;24
Broken Sword: Shadows of the Templars - The Director's Cut;DS;2009;Adventure;Ubisoft;7;9;0;2;17
Broken Sword: The Shadow of the Templars;GBA;2002;Adventure;BAM! Entertainment;4;2;0;0;6
Broken Sword: The Sleeping Dragon;XB;2003;Adventure;THQ;1;0;0;0;2
Brooktown High: Senior Year;PSP;2007;Simulation;Konami Digital Entertainment;9;0;0;1;1
Brothers Conflict: Brilliant Blue;PSP;2013;Adventure;Idea Factory;0;0;3;0;3
Brothers Conflict: Passion Pink;PSP;2012;Action;Idea Factory;0;0;3;0;3
Brothers Conflict: Precious Baby;PSV;2017;Action;Idea Factory;0;0;1;0;1
Brothers In Arms DS;DS;2007;Shooter;Ubisoft;3;0;0;0;4
Brothers In Arms: D-Day;PSP;2006;Shooter;Ubisoft;23;14;0;9;46
Brothers in Arms: Double Time;Wii;2008;Shooter;Ubisoft;11;0;0;1;13
Brothers In Arms: Earned in Blood;PS2;2005;Shooter;Ubisoft;38;1;0;6;46
Brothers In Arms: Earned in Blood;XB;2005;Shooter;Ubisoft;23;7;0;1;31
Brothers in Arms: Furious 4;PS3;2012;Shooter;Ubisoft;1;5;0;2;8
Brothers in Arms: Furious 4;X360;N/A;Shooter;N/A;1;0;0;0;1
Brothers in Arms: Hell's Highway;PS3;2008;Shooter;Ubisoft;44;34;0;15;93
Brothers in Arms: Hell's Highway;X360;2008;Shooter;Ubisoft;47;31;0;9;87
Brothers in Arms: Hell's Highway;PC;2008;Shooter;Ubisoft;0;2;0;0;2
Brothers In Arms: Road to Hill 30;XB;2005;Shooter;Ubisoft;49;14;0;2;66
Brothers In Arms: Road to Hill 30;PS2;2005;Shooter;Ubisoft;38;1;0;6;46
Brothers: A Tale of Two Sons;PS4;2015;Adventure;505 Games;3;8;0;2;13
Brothers: A Tale of Two Sons;XOne;2015;Adventure;505 Games;3;1;0;0;4
Bruce Lee: Quest of the Dragon;XB;2002;Fighting;Universal Interactive;23;7;0;1;31
Brunswick Circuit Pro Bowling;PS;1998;Sports;THQ;1;7;0;1;18
Brunswick Circuit Pro Bowling;N64;1999;Sports;THQ;5;1;0;0;6
Brunswick Circuit Pro Bowling 2;PS;2000;Sports;THQ;6;4;0;1;11
Brunswick Cosmic Bowling;Wii;2010;Sports;GameMill Entertainment;17;0;0;1;18
Brunswick Pro Bowling;X360;2010;Sports;505 Games;38;4;0;3;45
Brunswick Pro Bowling;PS2;2007;Sports;505 Games;2;15;0;5;4
Brunswick Pro Bowling;Wii;2007;Sports;505 Games;36;1;0;3;39
Brunswick Pro Bowling;PSP;2007;Sports;505 Games;19;0;0;2;21
Brunswick Pro Bowling;PS3;2010;Sports;505 Games;1;6;0;3;19
Brunswick Pro Bowling;3DS;2011;Sports;Crave Entertainment;11;0;0;1;12
Brutal Legend;X360;2009;Action;Electronic Arts;62;27;0;9;98
Brutal Legend;PS3;2009;Action;Electronic Arts;54;28;0;13;95
Brute Force;XB;2003;Shooter;Microsoft Game Studios;62;18;1;3;83
B's-LOG Party?;PSP;2010;Adventure;Idea Factory;0;0;4;0;4
Bubble Bobble also featuring Rainbow Islands;PS;1995;Puzzle;Acclaim Entertainment;4;2;0;0;6
Bubble Bobble Double Shot;DS;2007;Puzzle;Rising Star Games;3;0;0;0;4
Bubble Bobble Evolution;PSP;2006;Puzzle;Rising Star Games;3;0;0;0;3
Bubble Bobble Revolution;DS;2005;Puzzle;Atari;4;0;0;0;5
Bubble Bobble: Old & New;GBA;2002;Puzzle;Empire Interactive;4;2;0;0;6
Bubsy 3D;PS;1996;Platform;Accolade;1;7;0;1;19
Buck Bumble;N64;1998;Action;Ubisoft;13;3;0;0;16
Buck Fever;Wii;2009;Sports;Destineer;13;0;0;1;14
Buffy the Vampire Slayer;XB;2002;Action;Electronic Arts;18;5;0;1;23
Buffy the Vampire Slayer: Chaos Bleeds;PS2;2003;Action;Vivendi Games;9;7;0;2;18
Buffy the Vampire Slayer: Chaos Bleeds;XB;2003;Action;Vivendi Games;9;3;0;0;12
Buffy the Vampire Slayer: Chaos Bleeds;GC;2003;Action;Vivendi Games;2;1;0;0;3
Buffy the Vampire Slayer: Wrath of the Darkhul King;GBA;2003;Action;THQ;2;1;0;0;3
Bugriders: The Race of Kings;PS;1997;Racing;GT Interactive;1;1;0;0;2
Bugs Bunny & Taz: Time Busters;PS;2000;Adventure;Infogrames;11;8;0;1;21
Bugs Bunny: Lost in Time;PS;1999;Platform;Infogrames;22;15;0;3;4
Build 'n Race;Wii;2009;Racing;Zoo Games;8;0;0;1;9
Build-A-Bear Workshop;DS;2007;Simulation;Game Factory;85;1;0;7;93
Build-A-Bear Workshop: A Friend Fur All Seasons;Wii;2008;Simulation;Game Factory;34;0;0;3;37
Build-A-Bear Workshop: Friendship Valley;Wii;N/A;Misc;Unknown;6;0;0;0;7
Build-A-Bear Workshop: Welcome to Hugsville;DS;2010;Misc;Game Factory;14;0;0;1;15
Builder's Block;PS;1999;Strategy;EON Digital Entertainment;1;0;0;0;1
Bujingai: The Forsaken City;PS2;2003;Fighting;505 Games;5;4;0;1;1
Bullet Girls;PSV;2014;Action;D3Publisher;0;0;6;0;6
Bullet Girls 2;PSV;2016;Action;D3Publisher;0;0;4;0;4
Bullet Soul: Tama Tamashii;X360;2011;Shooter;5pb;0;0;1;0;1
Bullet Witch;X360;2006;Shooter;Atari;7;1;2;1;1
Bulletstorm;X360;2011;Shooter;Electronic Arts;61;32;1;8;102
Bulletstorm;PS3;2011;Shooter;Electronic Arts;23;2;1;8;53
Bulletstorm;PC;2011;Shooter;Electronic Arts;7;7;0;2;16
Bully;PS2;2006;Action;Take-Two Interactive;75;3;4;12;94
Bully: Scholarship Edition;X360;2008;Action;Take-Two Interactive;53;4;3;11;107
Bully: Scholarship Edition;Wii;2008;Action;Take-Two Interactive;17;29;0;6;52
Bully: Scholarship Edition;PC;2008;Action;Take-Two Interactive;0;2;0;0;3
Bump 'n' Jump;2600;1982;Racing;Mattel Interactive;37;2;0;0;39
Bunmei Haruka: Aoiza Ibunroku;PSP;2011;Action;FuRyu;0;0;2;0;2
Bunmei Kaika: Aoiza Ibunroku Saien;PSP;2012;Action;FuRyu;0;0;1;0;1
Burger Island;DS;2008;Action;Destineer;15;0;0;1;16
Burger Island;Wii;2009;Action;Destineer;14;0;0;1;15
BurgerTime;2600;1981;Puzzle;Mattel Interactive;55;3;0;1;59
Burning Rangers;SAT;1998;Platform;Sega;0;0;6;0;6
Burning Road;PS;1996;Racing;FunSoft;7;5;0;1;12
Burnout;PS2;2001;Racing;Acclaim Entertainment;36;28;0;1;74
Burnout;GC;2002;Racing;Acclaim Entertainment;23;6;0;1;3
Burnout;XB;2002;Racing;Acclaim Entertainment;9;3;0;0;13
Burnout 2: Point of Impact;PS2;2002;Racing;Acclaim Entertainment;42;32;0;11;85
Burnout 2: Point of Impact;XB;2003;Racing;Acclaim Entertainment;18;5;0;1;24
Burnout 2: Point of Impact;GC;2003;Racing;Acclaim Entertainment;12;3;0;0;15
Burnout 3: Takedown;PS2;2004;Racing;Electronic Arts;123;111;0;34;268
Burnout 3: Takedown;XB;2004;Racing;Electronic Arts;84;43;0;4;131
Burnout Dominator;PSP;2007;Racing;Electronic Arts;2;38;1;6;46
Burnout Legends;PSP;2005;Racing;Electronic Arts;7;6;0;9;85
Burnout Legends;DS;2005;Racing;Electronic Arts;15;2;0;1;18
Burnout Paradise;PS3;2008;Racing;Electronic Arts;101;64;2;3;197
Burnout Paradise;X360;2008;Racing;Electronic Arts;63;58;1;15;136
Burnout Paradise: The Ultimate Box;PC;2009;Racing;Electronic Arts;0;8;0;1;1
Burnout Paradise: The Ultimate Box;PS3;2009;Racing;Electronic Arts;0;6;1;2;9
Burnout Paradise: The Ultimate Box;X360;2009;Racing;Electronic Arts;0;3;0;0;4
Burnout Revenge;PS2;2005;Racing;Electronic Arts;75;3;0;12;9
Burnout Revenge;XB;2005;Racing;Electronic Arts;32;19;0;1;53
Burnout Revenge;X360;2006;Racing;Electronic Arts;42;5;0;4;51
Burstrick: Wake Boarding!!;PS;2000;Sports;Natsume;15;1;0;2;27
Bus Simulator 16;PC;2016;Simulation;Astragon;0;2;0;0;2
Bushido Blade;PS;1997;Fighting;Sony Computer Entertainment;39;27;43;8;116
Bushido Blade 2;PS;1998;Fighting;SquareSoft;25;17;22;4;68
Busou Renkin: Youkoso Papillon Park e;PS2;2007;Action;Marvelous Interactive;0;0;2;0;2
Busou Shinki: Battle Masters;PSP;2010;Action;Konami Digital Entertainment;0;0;7;0;7
Busou Shinki: Battle Masters Mk. 2;PSP;2011;Action;Konami Digital Entertainment;0;0;11;0;11
Bust A Groove;PS;1998;Misc;Sony Computer Entertainment;9;6;35;4;54
Bust A Groove 2;PS;1999;Misc;Enix Corporation;4;3;18;2;26
Bust-A-Bloc;PS2;2002;Puzzle;Midas Interactive Entertainment;0;0;5;0;5
Bust-A-Move;3DO;1994;Puzzle;Micro Cabin;0;0;2;0;2
Bust-A-Move 2 Arcade Edition;PS;1995;Puzzle;Acclaim Entertainment;11;7;0;1;2
Bust-A-Move 2 Arcade Edition;N64;1997;Puzzle;Acclaim Entertainment;6;2;0;0;8
Bust-A-Move 3000;GC;2003;Puzzle;Ubisoft;1;0;0;0;1
Bust-A-Move 4;PS;1998;Puzzle;Acclaim Entertainment;12;8;0;1;22
Bust-A-Move '99;PS;1997;Puzzle;Acclaim Entertainment;18;12;0;2;32
Bust-A-Move '99;N64;1998;Puzzle;Acclaim Entertainment;5;1;0;0;6
